epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,22860.5,0.31495,0.4342,0.98193,0.67382,0.51359,0.51784,0.18554,2.24333,2.75025,3.46237,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
41,23405.9,0.30741,0.60917,0.98776,0.53169,0.39286,0.32215,0.14806,2.07258,3.05501,3.37844,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
42,23943.4,0.28754,0.56117,0.96953,0.40623,0.48214,0.40295,0.20257,2.11435,2.8561,3.35714,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
43,24488,0.29147,0.54722,0.97202,0.35891,0.64881,0.45891,0.16176,2.11292,2.96445,3.47706,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
44,25035.1,0.28415,0.54297,0.96637,0.49999,0.52381,0.4092,0.14995,2.2447,2.77545,3.79954,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
45,25587.6,0.2796,0.53394,0.96339,0.41199,0.52381,0.43162,0.19591,2.23896,2.7963,3.78411,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
46,26125.5,0.28303,0.52399,0.95886,0.3955,0.52381,0.43191,0.1995,2.22215,2.80213,3.72197,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
47,26670.7,0.2734,0.52454,0.95743,0.47176,0.52381,0.42124,0.19992,2.29466,2.77974,3.7978,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
48,27210.3,0.27203,0.51803,0.96346,0.45326,0.52381,0.41543,0.20207,2.22357,2.88669,3.76075,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05
49,27758.4,0.27057,0.5149,0.95951,0.38583,0.52381,0.40367,0.19134,2.23707,2.8893,3.77791,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
50,28297.8,0.26662,0.50908,0.95586,0.38097,0.52381,0.41598,0.19557,2.26036,2.83202,3.79454,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05
