epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,39180.4,0.40976,0.71998,0.97907,0.43651,0.4793,0.38424,0.21509,1.36954,2.35009,1.77048,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
42,40110.8,0.39305,0.68397,0.97222,0.47176,0.40895,0.40122,0.22524,1.34337,2.35517,1.72546,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
43,41030.8,0.37525,0.65915,0.95887,0.54477,0.41413,0.40006,0.20417,1.3409,2.44981,1.73056,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
44,41958.7,0.36564,0.63797,0.95235,0.5411,0.42723,0.39462,0.20608,1.32814,2.41903,1.71038,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
45,42892.8,0.37183,0.6416,0.95214,0.52395,0.4972,0.44638,0.24016,1.31592,2.37579,1.72878,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
46,43833.3,0.36091,0.62696,0.94982,0.40778,0.51005,0.4583,0.22856,1.30758,2.40965,1.69041,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
47,44760.1,0.36103,0.62313,0.94703,0.53035,0.49527,0.44847,0.23768,1.33829,2.40669,1.7227,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
48,45689.9,0.35842,0.61901,0.94558,0.43521,0.52832,0.45088,0.22013,1.30334,2.39703,1.67867,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05
49,46635.9,0.34865,0.61044,0.94373,0.49896,0.5431,0.46928,0.22558,1.31471,2.39586,1.68539,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
50,47603.6,0.35169,0.60862,0.93897,0.47491,0.47773,0.42767,0.21179,1.31951,2.38554,1.71635,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05
